Usia,IPK,SKD,Wawancara,Mengajar,Lulus,Lokasi,Lektor
30,3.88,30.473,16.0,20.0,1,2344. POLITEKNIK NEGERI MALANG JURUSAN TEKNIK ELEKTRO ,tidak
31,3.78,31.491,15.6,20.0,1,2344. POLITEKNIK NEGERI MALANG JURUSAN TEKNIK ELEKTRO ,tidak
29,3.37,29.527,17.2,18.8,1,3403. UNIVERSITAS JENDERAL SOEDIRMAN FAKULTAS ILMU-ILMU KESEHATAN ,tidak
27,3.76,30.691,15.2,10.8,0,3403. UNIVERSITAS JENDERAL SOEDIRMAN FAKULTAS ILMU-ILMU KESEHATAN ,tidak
34,3.75,29.527,20.0,20.0,0,3403. UNIVERSITAS JENDERAL SOEDIRMAN FAKULTAS ILMU-ILMU KESEHATAN ,tidak
26,3.88,30.109,20.0,20.0,1,3285. UNIVERSITAS JEMBER FAKULTAS EKONOMI DAN BISNIS ,tidak
27,3.83,32.0,7.6,4.4,0,3285. UNIVERSITAS JEMBER FAKULTAS EKONOMI DAN BISNIS ,tidak
28,3.62,29.673,8.0,6.4,0,3285. UNIVERSITAS JEMBER FAKULTAS EKONOMI DAN BISNIS ,tidak
31,3.84,32.582,19.2,19.2,1,4082. UNIVERSITAS NEGERI GORONTALO FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
28,3.55,32.727,19.2,20.0,1,4082. UNIVERSITAS NEGERI GORONTALO FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
28,3.6,31.418,16.4,15.6,0,4082. UNIVERSITAS NEGERI GORONTALO FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
27,3.77,31.854,15.2,15.6,0,4082. UNIVERSITAS NEGERI GORONTALO FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
28,3.86,30.473,16.4,17.2,0,4082. UNIVERSITAS NEGERI GORONTALO FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
29,3.71,32.0,15.6,17.6,0,4082. UNIVERSITAS NEGERI GORONTALO FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
27,3.9,30.4,14.8,20.0,1,4082. UNIVERSITAS NEGERI GORONTALO FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
27,3.84,24.727,14.8,13.2,0,4082. UNIVERSITAS NEGERI GORONTALO FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
24,3.85,30.618,19.6,18.8,1,2213. POLITEKNIK NEGERI JEMBER JURUSAN TEKNOLOGI INFORMASI ,tidak
30,3.46,27.927,14.4,14.4,1,2213. POLITEKNIK NEGERI JEMBER JURUSAN TEKNOLOGI INFORMASI ,tidak
27,3.8,31.564,14.8,16.4,0,2213. POLITEKNIK NEGERI JEMBER JURUSAN TEKNOLOGI INFORMASI ,tidak
32,3.75,28.873,0.0,0.0,0,2213. POLITEKNIK NEGERI JEMBER JURUSAN TEKNOLOGI INFORMASI ,tidak
30,3.4,33.454,18.4,20.0,1,2562. POLITEKNIK NEGERI SRIWIJAYA JURUSAN ADMINISTRASI BISNIS ,tidak
30,3.58,27.782,15.6,16.0,1,2562. POLITEKNIK NEGERI SRIWIJAYA JURUSAN ADMINISTRASI BISNIS ,tidak
29,3.28,26.909,14.8,14.8,0,2562. POLITEKNIK NEGERI SRIWIJAYA JURUSAN ADMINISTRASI BISNIS ,tidak
30,3.94,28.364,14.0,13.6,0,2562. POLITEKNIK NEGERI SRIWIJAYA JURUSAN ADMINISTRASI BISNIS ,tidak
35,3.31,27.854,16.4,14.8,0,2562. POLITEKNIK NEGERI SRIWIJAYA JURUSAN ADMINISTRASI BISNIS ,tidak
30,3.68,26.691,14.8,14.4,1,2562. POLITEKNIK NEGERI SRIWIJAYA JURUSAN ADMINISTRASI BISNIS ,tidak
32,3.15,31.2,17.2,18.0,1,1976. POLITEKNIK NEGERI BALIKPAPAN JURUSAN TEKNIK SIPIL ,tidak
25,3.82,32.146,14.4,14.8,0,1976. POLITEKNIK NEGERI BALIKPAPAN JURUSAN TEKNIK SIPIL ,tidak
25,3.86,31.054,18.0,19.2,1,3908. UNIVERSITAS MULAWARMAN FAKULTAS ILMU BUDAYA ,tidak
30,3.51,31.346,16.4,18.0,0,3908. UNIVERSITAS MULAWARMAN FAKULTAS ILMU BUDAYA ,tidak
27,3.55,28.727,11.6,16.4,0,3908. UNIVERSITAS MULAWARMAN FAKULTAS ILMU BUDAYA ,tidak
29,3.67,28.146,19.2,18.0,1,"3292. UNIVERSITAS JEMBER FAKULTAS HUKUM 2
",tidak
31,3.98,27.854,5.6,6.4,0,"3292. UNIVERSITAS JEMBER FAKULTAS HUKUM 2
",tidak
30,3.96,27.636,5.2,0.0,0,"3292. UNIVERSITAS JEMBER FAKULTAS HUKUM 2
",tidak
30,3.73,26.764,6.8,6.0,0,"3292. UNIVERSITAS JEMBER FAKULTAS HUKUM 2
",tidak
29,3.78,29.673,16.4,12.4,0,4171. UNIVERSITAS NEGERI JAKARTA FAKULTAS BAHASA DAN SENI ,tidak
31,3.55,29.236,10.4,8.0,0,4171. UNIVERSITAS NEGERI JAKARTA FAKULTAS BAHASA DAN SENI ,tidak
28,3.89,27.782,10.0,8.4,0,4171. UNIVERSITAS NEGERI JAKARTA FAKULTAS BAHASA DAN SENI ,tidak
34,3.79,27.273,14.8,16.4,1,4171. UNIVERSITAS NEGERI JAKARTA FAKULTAS BAHASA DAN SENI ,tidak
28,3.85,26.909,10.4,7.2,0,4171. UNIVERSITAS NEGERI JAKARTA FAKULTAS BAHASA DAN SENI ,tidak
28,3.98,33.673,0.0,0.0,0,4171. UNIVERSITAS NEGERI JAKARTA FAKULTAS BAHASA DAN SENI ,tidak
27,3.92,30.836,14.8,18.4,1,"3364. UNIVERSITAS JEMBER FAKULTAS TEKNIK 1
",tidak
33,3.53,30.182,19.2,18.4,1,"3968. UNIVERSITAS MULAWARMAN FAKULTAS PERTANIAN 1
",tidak
29,3.05,25.964,17.2,18.0,0,"3968. UNIVERSITAS MULAWARMAN FAKULTAS PERTANIAN 1
",tidak
28,3.6,28.436,16.0,16.8,1,4774. UNIVERSITAS PALANGKARAYA FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
29,3.72,27.564,17.6,16.4,1,4774. UNIVERSITAS PALANGKARAYA FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
31,3.54,29.018,15.6,15.6,1,4774. UNIVERSITAS PALANGKARAYA FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
34,3.83,28.291,16.4,16.4,0,4774. UNIVERSITAS PALANGKARAYA FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
27,3.38,26.4,18.4,16.8,0,4774. UNIVERSITAS PALANGKARAYA FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
33,3.18,27.054,17.6,16.0,0,4774. UNIVERSITAS PALANGKARAYA FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
31,3.0,29.818,16.8,16.8,0,4774. UNIVERSITAS PALANGKARAYA FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
33,3.38,26.036,15.6,18.8,0,4774. UNIVERSITAS PALANGKARAYA FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
28,3.76,28.218,13.6,17.2,1,4774. UNIVERSITAS PALANGKARAYA FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
30,3.77,24.582,15.6,17.6,1,3529. UNIVERSITAS LAMBUNG MANGKURAT FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN ,tidak
29,3.71,25.454,17.2,19.2,0,3529. UNIVERSITAS LAMBUNG MANGKURAT FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN ,tidak
32,3.77,34.327,16.8,13.2,1,1918. POLITEKNIK MARITIM NEGERI INDONESIA JURUSAN TEKNIKA ,tidak
30,3.78,32.654,19.2,17.2,0,1918. POLITEKNIK MARITIM NEGERI INDONESIA JURUSAN TEKNIKA ,tidak
31,3.5,32.436,18.4,12.8,0,1918. POLITEKNIK MARITIM NEGERI INDONESIA JURUSAN TEKNIKA ,tidak
32,3.88,33.018,17.6,15.6,1,"5631. UNIVERSITAS SULAWESI BARAT FAKULTAS TEKNIK 2
",tidak
