Total Kasus,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo,?,
28-Jun,25,771,628,131,89,260,"5,865",69,"1,520","1,066","3,720",259,375,335,723,154,233,802,954,587,172,384,221,"1,718",153,148,139,103,230,152,632,83,40,195,,
29-Jun,25,783,635,132,89,261,"6,118",69,"1,522","1,109","3,891",263,376,384,728,154,239,808,"1,020",588,177,401,222,"1,770",153,149,166,103,257,153,737,83,40,195,,
30-Jun,26,798,639,133,89,263,"6,512",69,"1,607","1,159","4,012",268,385,384,766,157,241,816,"1,025",600,187,406,234,"1,839",153,150,176,105,264,153,856,84,40,210,,
1-Jul,31,860,660,134,90,264,"6,680",77,"1,622","1,259","4,199",271,400,384,789,159,245,823,"1,042",607,201,418,237,"1,891",157,151,178,112,282,165,870,84,40,213,,
2-Jul,31,875,882,136,91,269,"6,871",77,"1,665","1,357","4,391",271,414,384,840,165,255,834,"1,085",618,219,425,247,"1,941",158,153,188,117,307,170,870,85,54,222,,
3-Jul,31,913,934,136,94,271,"7,109",77,"1,668","1,407","4,638",277,419,434,868,171,259,859,"1,109",622,233,438,257,"1,982",159,153,200,119,316,170,880,85,54,226,,
4-Jul,31,937,943,136,94,275,"7,377",77,"1,685","1,457","4,738",281,432,434,910,174,260,865,"1,120",624,250,459,261,"2,023",161,154,205,123,316,171,880,85,54,227,,
5-Jul,31,967,945,136,95,276,"7,663",81,"1,702","1,507","4,892",300,435,454,942,174,260,874,"1,160",625,268,478,273,"2,118",163,155,208,123,377,177,880,85,54,227,,
6-Jul,40,974,949,136,95,278,"8,036",81,"1,718","1,567","4,996",300,436,454,957,174,263,881,"1,182",627,299,485,274,"2,197",163,159,212,123,381,184,928,89,54,227,,
7-Jul,42,"1,034",952,136,96,282,"8,277",81,"1,763","1,617","5,114",305,452,464,"1,064",176,263,889,"1,210",637,317,494,285,"2,242",164,159,214,124,414,185,963,89,54,227,,
8-Jul,51,"1,079",958,139,98,285,"8,424",81,"1,784","1,687","5,319",306,460,474,"1,126",178,268,912,"1,220",647,329,504,287,"2,257",164,159,215,128,466,186,986,90,91,227,,
9-Jul,54,"1,171",982,140,98,287,"8,645",81,"1,811","1,717","5,582",308,468,484,"1,149",187,280,924,"1,224",655,356,515,292,"2,446",164,160,216,131,487,186,"1,043",90,91,227,,
10-Jul,59,"1,202","1,010",141,101,288,"8,825",84,"1,839","1,855","5,816",308,478,494,"1,204",188,280,938,"1,239",661,361,527,312,"2,476",165,164,217,132,509,187,"1,059",91,91,228,,
11-Jul,63,"1,352","1,040",142,102,291,"9,040",84,"1,867","1,905","6,134",315,490,494,"1,279",188,285,952,"1,243",666,366,543,330,"2,652",165,164,217,132,539,188,"1,078",92,91,230,,
12-Jul,63,"1,411","1,090",142,102,293,"9,200",93,"1,877","1,935","6,341",327,493,524,"1,386",188,292,965,"1,277",671,367,565,335,"2,759",166,167,218,133,564,193,"1,085",95,91,230,,
13-Jul,63,"1,508","1,095",142,103,295,"9,408",93,"1,896","1,965","6,609",328,504,544,"1,410",188,292,987,"1,307",671,375,578,336,"3,018",166,168,221,137,568,196,"1,094",95,91,236,,
14 Jul,64,"1,572","1,107",145,104,304,"9,528",93,"1,924","1,995","6,961",341,512,544,"1,464",188,293,"1,011","1,326",682,391,598,340,"3,162",168,168,221,141,568,198,"1,096",98,91,238,,
15-Jul,64,"1,613","1,140",149,105,309,"9,721",95,"2,064","2,115","7,482",341,519,574,"1,505",188,295,"1,025","1,340",687,403,606,343,"3,275",175,169,222,144,579,202,"1,155",98,91,257,,
16-Jul,65,"1,719","1,155",166,106,313,"9,855",95,"2,102","2,195","7,926",341,534,574,"1,571",189,301,"1,052","1,361",690,418,635,346,"3,486",175,169,224,148,598,202,"1,164",102,91,277,,
17-Jul,65,"1,807","1,165",166,107,314,"9,994",98,"2,143","2,535","8,313",341,552,654,"1,613",191,301,"1,063","1,387",692,501,656,361,"3,598",175,170,224,153,599,203,"1,199",102,91,301,,
18-Jul,65,"1,873","1,177",167,107,315,"10,118",101,"2,174","2,770","8,868",347,565,684,"1,701",192,301,"1,076","1,391",696,574,695,364,"3,679",175,170,224,175,599,205,"1,210",103,103,304,,
19-Jul,65,"1,992","1,186",167,110,323,"10,444",104,"2,178","3,190","9,342",351,566,758,"1,731",192,301,"1,095","1,408",700,595,720,372,"4,198",176,174,225,185,603,209,"1,223",104,103,311,,
20-Jul,65,"2,058","1,199",167,110,326,"10,598",104,"2,272","3,490","9,717",351,586,758,"1,830",209,301,"1,108","1,409",700,634,769,379,"4,476",176,177,230,190,613,212,"1,233",113,106,311,,
21-Jul,70,"2,110","1,220",167,111,329,"10,819",104,"2,349","3,590","10,065",351,590,788,"2,021",209,301,"1,122","1,419",707,685,799,383,"4,764",178,178,232,196,622,213,"1,240",113,110,311,,
22-Jul,75,"2,178","1,228",169,111,331,"11,139",108,"2,420","3,720","10,460",355,620,888,"2,155",209,301,"1,131","1,472",708,811,825,386,"5,034",181,179,232,204,622,216,"1,253",113,110,311,,
23-Jul,77,"2,252","1,232",169,116,335,"11,283",110,"2,452","3,850","11,125",355,672,966,"2,270",209,306,"1,144","1,526",711,923,846,390,"5,344",184,182,233,241,629,230,"1,257",113,110,322,,
24-Jul,89,"2,322","1,237",169,117,336,"11,552",111,"2,471","3,950","11,546",355,704,991,"2,542",211,306,"1,160","1,581",717,978,879,401,"5,675",184,185,234,259,632,232,"1,259",117,110,333,,
25-Jul,91,"2,408","1,244",172,117,343,"11,725",112,"2,505","4,050","11,955",355,729,"1,041","2,722",212,315,"1,173","1,610",730,"1,000",903,402,"5,809",185,187,244,264,632,232,"1,311",119,110,347,,
26-Jul,91,"2,489","1,254",173,117,347,"11,886",112,"2,528","4,150","12,318",355,754,"1,071","2,850",212,315,"1,195","1,644",736,"1,040",918,442,"5,963",185,190,256,268,634,232,"1,319",119,110,382,,
27-Jul,91,"2,570","1,277",173,117,350,"11,997",112,"2,934","4,265","12,680",355,776,"1,096","2,916",214,315,"1,216","1,680",736,"1,066",931,450,"6,095",185,192,266,289,634,234,"1,335",119,110,397,,
28-Jul,91,"2,627","1,283",173,117,356,"12,367",113,"3,567","4,485","13,081",355,810,"1,116","3,073",214,315,"1,222","1,694",743,"1,129",950,453,"6,284",188,195,271,311,681,263,"1,344",119,110,439,,
29-Jul,91,"2,711","1,294",173,118,368,"12,614",115,"3,615","4,762","13,619",355,858,"1,116","3,144",214,321,"1,252","1,714",750,"1,166",981,455,"6,324",188,195,288,328,697,265,"1,362",125,110,450,,
30-Jul,91,"2,788","1,309",173,118,382,"12,803",115,"3,949","5,139","14,064",355,888,"1,141","3,300",214,321,"1,264","1,757",758,"1,189","1,247",462,"6,373",188,195,305,328,699,292,"1,375",132,110,468,,
31-Jul,91,"2,876","1,354",173,118,399,"13,208",115,"3,966","5,319","14,415",355,903,"1,182","3,367",214,321,"1,288","1,794",760,"1,205","1,353",470,"6,482",188,195,308,328,699,292,"1,375",140,110,544,,
1-Aug,91,"2,924","1,366",173,118,410,"13,887",115,"3,985","5,620","14,877",355,910,"1,203","3,449",214,321,"1,288","1,826",760,"1,224","1,484",477,"6,553",189,195,327,328,744,292,"1,375",140,110,589,,
2-Aug,91,"2,971","1,384",173,118,421,"14,027",115,"3,992","5,770","15,068",355,913,"1,217","3,467",214,321,"1,314","1,857",768,"1,304","1,614",480,"6,639",189,195,328,328,748,295,"1,397",144,120,638,,
3-Aug,91,"3,026","1,410",173,118,434,"14,165",115,"4,040","5,880","15,534",355,938,"1,247","3,559",215,321,"1,323","1,864",770,"1,353","1,653",528,"6,639",189,211,332,345,750,295,"1,397",147,120,700,,
4-Aug,91,"3,085","1,422",175,118,448,"14,381",116,"4,210","5,980","15,877",371,974,"1,277","3,609",265,321,"1,334","1,890",773,"1,391","1,717",600,"6,780",191,215,344,558,756,304,"1,444",150,120,763,,
5-Aug,91,"3,130","1,427",182,135,477,"14,760",116,"4,220","6,135","16,267",371,"1,032","1,305","3,705",265,321,"1,363","1,915",776,"1,426","1,791",608,"6,935",192,215,348,762,768,306,"1,471",151,129,794,,
